rent_price,m2,Deposit,Type_of_building,room_number,Building_material,Year_of_construction,floor,windows,Number_of_floors,Heating,media,security,link_2,Additional_information,Equipment,location,latitude,longitude
2700.0,45.0,2700.0,apartamentowiec,3.0,silikat,2019.0,4.0,plastikowe,5.0,miejskie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-45m2-z-balkonem-i-garazem-ID4doe8,"klimatyzacja, balkon, garaż/miejsce parkingowe, winda, tylko dla niepalących","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,
2500.0,49.0,3100.0,blok,2.0,cegła,2005.0,6.0,plastikowe,7.0,miejskie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",https://www.otodom.pl/pl/oferta/wola-49-m2-2-pok-wola-park-metro-ks-janusza-ID42JHy,"balkon, winda, oddzielna kuchnia, taras","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Tadeusza Krępowieckiego, Ulrychów, Wola, Warszawa, województwo mazowieckie, 01-107, Polska",52.2345851,20.9340722
2600.0,50.0,3300.0,blok,3.0,wielka płyta,1980.0,9.0,plastikowe,10.0,miejskie,,"drzwi / okna antywłamaniowe, domofon / wideofon",https://www.otodom.pl/pl/oferta/3-oddzielne-pokoje-czerniakowska-30-ID41P3w,"balkon, piwnica, winda, oddzielna kuchnia","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Czerniakowska, Dolny Mokotów, Sielce, Mokotów, Warszawa, województwo mazowieckie, 00-715, Polska",52.2013484,21.049876
2500.0,37.0,,apartamentowiec,2.0,cegła,2021.0,4.0,drewniane,11.0,miejskie,,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/apartament-ogrodowa-ID4dnIe,"balkon, winda, tylko dla niepalących","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Ogrodowa, Mirów, Wola, Warszawa, województwo mazowieckie, 00-876, Polska",52.2378481,20.98558
5200.0,80.0,6000.0,apartamentowiec,3.0,cegła,2019.0,,drewniane,6.0,miejskie,,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",https://www.otodom.pl/pl/oferta/luksusowy-apartament-80-m2-mokotow-ID43qao,"klimatyzacja, balkon, garaż/miejsce parkingowe, winda, taras, pom. użytkowe","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","Mokotów, Warszawa, województwo mazowieckie, Polska",52.1939874,21.0457809
3300.0,70.0,3300.0,blok,3.0,cegła,,,plastikowe,4.0,miejskie,,"domofon / wideofon, rolety antywłamaniowe",https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-3-pok-w-poblizu-ul-1-sierpnia-ID4ddU9,"balkon, piwnica, garaż/miejsce parkingowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","Leżajska, Okęcie, Włochy, Warszawa, województwo mazowieckie, 02-155, Polska",52.1921004,20.971737
1600.0,16.65,,apartamentowiec,1.0,cegła,2018.0,,,,miejskie,,monitoring / ochrona,https://www.otodom.pl/pl/oferta/kawalerka-typu-studio-mokotow-ID4dvph,winda,meble,"Obrzeżna, Osiedle Służewiec Południowy, Mokotów, Warszawa, województwo mazowieckie, 02-690, Polska",52.1697567,20.9976104
2200.0,40.0,,,2.0,,2020.0,,,2.0,,,,https://www.otodom.pl/pl/oferta/nowe-piekne-mieszkanie-bez-prowizji-ID4bWok,,,"Włochy, Warszawa, województwo mazowieckie, Polska",52.1861093,20.9484377
5500.0,90.0,5500.0,apartamentowiec,3.0,cegła,,2.0,drewniane,,miejskie,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",https://www.otodom.pl/pl/oferta/mieszkanie-90-m-warszawa-ID4dvoW,"klimatyzacja, balkon, piwnica, garaż/miejsce parkingowe, winda",,"Obrzeżna, Osiedle Służewiec Południowy, Mokotów, Warszawa, województwo mazowieckie, 02-690, Polska",52.1697567,20.9976104
1900.0,17.0,2200.0,kamienica,1.0,cegła,1935.0,,drewniane,3.0,miejskie,internet,"teren zamknięty, domofon / wideofon, rolety antywłamaniowe",https://www.otodom.pl/pl/oferta/nowa-kawalerka-na-powislu-obok-bulwarow-i-metra-ID48gyJ,"piwnica, tylko dla niepalących","lodówka, meble, kuchenka, pralka","Drewniana, Mariensztat, Powiśle, Śródmieście, Warszawa, województwo mazowieckie, 00-345, Polska",52.2391222,21.0245637
